SiteKey,YearMonthKey,IndicatorKey,EventCount
3,202603,4,20
3,202603,5,124
3,202604,1,43
3,202604,2,64
3,202604,3,105
3,202604,4,21
3,202604,5,125
3,202605,1,43
3,202605,2,56
3,202605,3,78
3,202605,4,22
3,202605,5,113
3,202606,1,33
3,202606,2,62
3,202606,3,73
3,202606,4,20
3,202606,5,111
4,202401,1,37
4,202401,2,71
4,202401,3,81
4,202401,4,21
4,202401,5,112
4,202402,1,42
4,202402,2,58
4,202402,3,81
4,202402,4,21
4,202402,5,133
4,202403,1,48
4,202403,2,80
4,202403,3,98
4,202403,4,21
4,202403,5,133
4,202404,1,54
4,202404,2,73
4,202404,3,102
4,202404,4,22
4,202404,5,164
4,202405,1,48
4,202405,2,65
4,202405,3,95
4,202405,4,25
4,202405,5,159
4,202406,1,41
4,202406,2,75
4,202406,3,91
4,202406,4,19
4,202406,5,132
4,202407,1,43
4,202407,2,66
4,202407,3,87
4,202407,4,21
4,202407,5,119
4,202408,1,44
4,202408,2,66
4,202408,3,99
4,202408,4,20
4,202408,5,128
4,202409,1,43
4,202409,2,79
4,202409,3,95
4,202409,4,25
4,202409,5,135
4,202410,1,54
4,202410,2,88
4,202410,3,112
4,202410,4,24
4,202410,5,148
4,202411,1,46
4,202411,2,78
4,202411,3,110
4,202411,4,27
4,202411,5,146
4,202412,1,44
4,202412,2,69
4,202412,3,104
4,202412,4,21
4,202412,5,142
4,202501,1,45
4,202501,2,70
4,202501,3,96
4,202501,4,21
4,202501,5,126
4,202502,1,48
4,202502,2,75
4,202502,3,98
4,202502,4,24
4,202502,5,137
4,202503,1,47
4,202503,2,89
4,202503,3,106
4,202503,4,25
4,202503,5,162
4,202504,1,58
4,202504,2,94
4,202504,3,122
4,202504,4,29
4,202504,5,172
4,202505,1,42
4,202505,2,72
4,202505,3,119
4,202505,4,27
4,202505,5,131
4,202506,1,42
4,202506,2,65
4,202506,3,100
4,202506,4,24
4,202506,5,131
4,202507,1,50
4,202507,2,66
4,202507,3,108
4,202507,4,25
4,202507,5,129
4,202508,1,48
4,202508,2,68
4,202508,3,118
4,202508,4,23
4,202508,5,132
4,202509,1,46
4,202509,2,84
4,202509,3,103
4,202509,4,25
4,202509,5,143
4,202510,1,51
4,202510,2,93
4,202510,3,136
4,202510,4,27
4,202510,5,181
4,202511,1,53
4,202511,2,77
4,202511,3,113
4,202511,4,30
4,202511,5,163
4,202512,1,49
4,202512,2,69
4,202512,3,105
4,202512,4,23
4,202512,5,128
4,202601,1,42
4,202601,2,79
4,202601,3,91
4,202601,4,21
4,202601,5,151
4,202602,1,42
4,202602,2,77
4,202602,3,101
4,202602,4,27
4,202602,5,137
4,202603,1,71
4,202603,2,110
4,202603,3,193
4,202603,4,39
4,202603,5,205
4,202604,1,79
4,202604,2,113
4,202604,3,180
4,202604,4,44
4,202604,5,238
4,202605,1,80
4,202605,2,131
4,202605,3,158
4,202605,4,36
4,202605,5,217
4,202606,1,74
4,202606,2,95
4,202606,3,169
4,202606,4,33
4,202606,5,211
5,202401,1,28
5,202401,2,39
5,202401,3,63
5,202401,4,13
5,202401,5,73
5,202402,1,29
5,202402,2,42
5,202402,3,57
5,202402,4,13
5,202402,5,88
5,202403,1,28
5,202403,2,53
5,202403,3,78
5,202403,4,17
5,202403,5,85
5,202404,1,28
5,202404,2,50
5,202404,3,70
5,202404,4,15
5,202404,5,86
5,202405,1,33
5,202405,2,49
5,202405,3,77
5,202405,4,18
5,202405,5,91
5,202406,1,27
5,202406,2,45
5,202406,3,71
5,202406,4,15
5,202406,5,80
5,202407,1,27
5,202407,2,42
5,202407,3,69
5,202407,4,14
5,202407,5,82
5,202408,1,30
5,202408,2,50
5,202408,3,58
5,202408,4,14
5,202408,5,95
5,202409,1,27
5,202409,2,50
5,202409,3,74
5,202409,4,17
5,202409,5,86
5,202410,1,33
5,202410,2,46
5,202410,3,77
5,202410,4,17
5,202410,5,110
5,202411,1,30
5,202411,2,46
5,202411,3,70
5,202411,4,15
5,202411,5,99
5,202412,1,26
5,202412,2,54
5,202412,3,74
5,202412,4,14
5,202412,5,80
5,202501,1,32
5,202501,2,45
5,202501,3,68
5,202501,4,18
5,202501,5,97
5,202502,1,32
5,202502,2,54
5,202502,3,74
5,202502,4,17
5,202502,5,104
5,202503,1,35
5,202503,2,50
5,202503,3,73
5,202503,4,16
5,202503,5,100
5,202504,1,35
5,202504,2,49
5,202504,3,86
5,202504,4,20
5,202504,5,111
5,202505,1,34
5,202505,2,53
5,202505,3,77
5,202505,4,18
5,202505,5,96
5,202506,1,35
5,202506,2,54
5,202506,3,65
5,202506,4,18
5,202506,5,96
5,202507,1,27
5,202507,2,54
5,202507,3,78
5,202507,4,18
5,202507,5,84
5,202508,1,29
5,202508,2,53
5,202508,3,74
5,202508,4,15
5,202508,5,94
5,202509,1,38
5,202509,2,52
5,202509,3,69
5,202509,4,19
5,202509,5,120
5,202510,1,33
5,202510,2,55
5,202510,3,72
5,202510,4,17
5,202510,5,111
5,202511,1,35
5,202511,2,60
5,202511,3,82
5,202511,4,15
5,202511,5,114
5,202512,1,28
5,202512,2,53
5,202512,3,73
5,202512,4,16
5,202512,5,91
5,202601,1,27
5,202601,2,44
5,202601,3,74
5,202601,4,16
5,202601,5,102
5,202602,1,36
5,202602,2,47
5,202602,3,81
5,202602,4,18
5,202602,5,113
5,202603,1,37
5,202603,2,53
5,202603,3,79
5,202603,4,17
5,202603,5,120
5,202604,1,38
5,202604,2,57
5,202604,3,88
5,202604,4,21
5,202604,5,120
5,202605,1,31
5,202605,2,57
5,202605,3,80
5,202605,4,17
5,202605,5,123
5,202606,1,30
5,202606,2,53
5,202606,3,74
5,202606,4,17
5,202606,5,95
6,202401,1,45
6,202401,2,79
6,202401,3,88
6,202401,4,23
6,202401,5,133
6,202402,1,39
6,202402,2,76
6,202402,3,105
6,202402,4,21
6,202402,5,141
6,202403,1,47
6,202403,2,78
6,202403,3,124
6,202403,4,26
6,202403,5,169
6,202404,1,58
6,202404,2,81
6,202404,3,125
6,202404,4,26
6,202404,5,157
6,202405,1,48
6,202405,2,73
6,202405,3,118
6,202405,4,24
6,202405,5,165
6,202406,1,45
6,202406,2,81
6,202406,3,110
6,202406,4,26
6,202406,5,135
6,202407,1,42
6,202407,2,81
6,202407,3,91
6,202407,4,24
6,202407,5,146
6,202408,1,42
6,202408,2,66
6,202408,3,102
6,202408,4,21
6,202408,5,140
6,202409,1,50
6,202409,2,81
6,202409,3,117
6,202409,4,27
6,202409,5,183
6,202410,1,49
6,202410,2,88
6,202410,3,118
6,202410,4,26
6,202410,5,152
6,202411,1,54
6,202411,2,90
6,202411,3,109
6,202411,4,30
6,202411,5,141
6,202412,1,46
6,202412,2,70
6,202412,3,90
6,202412,4,23
6,202412,5,141
6,202501,1,48
6,202501,2,84
6,202501,3,118
6,202501,4,28
6,202501,5,139
6,202502,1,41
6,202502,2,66
6,202502,3,102
6,202502,4,23
6,202502,5,128
6,202503,1,49
6,202503,2,81
6,202503,3,115
6,202503,4,25
6,202503,5,167
6,202504,1,56
6,202504,2,99
6,202504,3,106
6,202504,4,31
6,202504,5,184
6,202505,1,48
6,202505,2,83
6,202505,3,120
6,202505,4,27
6,202505,5,163
6,202506,1,45
6,202506,2,75
6,202506,3,110
6,202506,4,22
6,202506,5,133
6,202507,1,43
6,202507,2,75
6,202507,3,104
6,202507,4,29
6,202507,5,146
6,202508,1,55
6,202508,2,72
6,202508,3,102
6,202508,4,27
6,202508,5,134
6,202509,1,47
6,202509,2,91
6,202509,3,129
6,202509,4,28
6,202509,5,177
6,202510,1,51
6,202510,2,101
6,202510,3,134
6,202510,4,27
6,202510,5,149
6,202511,1,49
6,202511,2,87
6,202511,3,122
6,202511,4,27
6,202511,5,143
6,202512,1,52
6,202512,2,83
6,202512,3,125
6,202512,4,29
6,202512,5,172
6,202601,1,57
6,202601,2,75
6,202601,3,109
6,202601,4,31
6,202601,5,162
6,202602,1,47
6,202602,2,82
6,202602,3,123
6,202602,4,28
6,202602,5,154
6,202603,1,64
6,202603,2,92
6,202603,3,124
6,202603,4,32
6,202603,5,190
6,202604,1,58
6,202604,2,106
6,202604,3,148
6,202604,4,26
6,202604,5,170
6,202605,1,59
6,202605,2,104
6,202605,3,131
6,202605,4,31
6,202605,5,195
6,202606,1,55
6,202606,2,91
6,202606,3,124
6,202606,4,25
6,202606,5,190
7,202401,1,28
7,202401,2,55
7,202401,3,68
7,202401,4,15
7,202401,5,110
7,202402,1,36
7,202402,2,57
7,202402,3,84
7,202402,4,16
7,202402,5,102
7,202403,1,41
7,202403,2,53
7,202403,3,83
7,202403,4,20
7,202403,5,125
7,202404,1,38
7,202404,2,67
7,202404,3,77
7,202404,4,18
7,202404,5,119
7,202405,1,37
7,202405,2,60
7,202405,3,79
7,202405,4,19
7,202405,5,111
7,202406,1,32
7,202406,2,61
7,202406,3,80
7,202406,4,15
7,202406,5,116
7,202407,1,37
7,202407,2,64
7,202407,3,82
7,202407,4,19
7,202407,5,98
7,202408,1,35
7,202408,2,61
7,202408,3,71
7,202408,4,19
7,202408,5,117
7,202409,1,37
7,202409,2,58
7,202409,3,84
7,202409,4,22
7,202409,5,102
7,202410,1,39
7,202410,2,60
7,202410,3,97
7,202410,4,19
7,202410,5,136
7,202411,1,32
7,202411,2,63
7,202411,3,89
7,202411,4,19
7,202411,5,119
7,202412,1,33
7,202412,2,56
7,202412,3,87
7,202412,4,17
7,202412,5,109
7,202501,1,32
7,202501,2,66
7,202501,3,74
7,202501,4,16
7,202501,5,108
7,202502,1,39
7,202502,2,53
7,202502,3,92
7,202502,4,21
7,202502,5,98
7,202503,1,35
7,202503,2,69
7,202503,3,99
7,202503,4,22
7,202503,5,107
7,202504,1,41
7,202504,2,58
7,202504,3,98
7,202504,4,23
7,202504,5,135
7,202505,1,43
7,202505,2,65
7,202505,3,87
7,202505,4,21
7,202505,5,133
7,202506,1,41
7,202506,2,65
7,202506,3,76
7,202506,4,19
7,202506,5,101
7,202507,1,39
7,202507,2,54
7,202507,3,87
7,202507,4,22
7,202507,5,100
7,202508,1,34
7,202508,2,55
7,202508,3,84
7,202508,4,22
7,202508,5,102
7,202509,1,44
7,202509,2,72
7,202509,3,106
7,202509,4,21
7,202509,5,120
7,202510,1,45
7,202510,2,68
7,202510,3,98
7,202510,4,19
7,202510,5,143
7,202511,1,39
7,202511,2,66
7,202511,3,92
7,202511,4,21
7,202511,5,120
7,202512,1,39
7,202512,2,60
7,202512,3,85
7,202512,4,19
7,202512,5,120
7,202601,1,35
7,202601,2,70
7,202601,3,98
7,202601,4,21
7,202601,5,128
7,202602,1,43
7,202602,2,68
7,202602,3,88
7,202602,4,18
7,202602,5,124
7,202603,1,39
7,202603,2,69
7,202603,3,95
7,202603,4,21
7,202603,5,129
7,202604,1,45
7,202604,2,75
7,202604,3,96
7,202604,4,22
7,202604,5,138
7,202605,1,44
7,202605,2,72
7,202605,3,97
7,202605,4,21
7,202605,5,117
7,202606,1,37
7,202606,2,57
7,202606,3,91
7,202606,4,19
7,202606,5,117
8,202401,1,21
8,202401,2,32
8,202401,3,44
8,202401,4,12
8,202401,5,71
8,202402,1,19
8,202402,2,40
8,202402,3,54
8,202402,4,12
8,202402,5,75
8,202403,1,22
8,202403,2,45
8,202403,3,58
8,202403,4,13
8,202403,5,79
8,202404,1,29
8,202404,2,46
8,202404,3,53
8,202404,4,15
8,202404,5,89
8,202405,1,22
8,202405,2,46
8,202405,3,50
8,202405,4,13
8,202405,5,85
8,202406,1,26
8,202406,2,39
8,202406,3,58
8,202406,4,11
8,202406,5,74
8,202407,1,22
8,202407,2,42
8,202407,3,56
8,202407,4,11
8,202407,5,76
8,202408,1,27
8,202408,2,36
8,202408,3,61
8,202408,4,13
8,202408,5,85
8,202409,1,25
8,202409,2,39
8,202409,3,65
8,202409,4,15
8,202409,5,74
8,202410,1,25
8,202410,2,42
8,202410,3,57
8,202410,4,14
8,202410,5,80
8,202411,1,26
8,202411,2,45
8,202411,3,54
8,202411,4,15
8,202411,5,77
8,202412,1,26
8,202412,2,34
8,202412,3,55
8,202412,4,12
8,202412,5,67
8,202501,1,22
8,202501,2,43
8,202501,3,62
8,202501,4,12
8,202501,5,72
8,202502,1,24
8,202502,2,35
8,202502,3,62
8,202502,4,12
8,202502,5,82
8,202503,1,25
8,202503,2,41
8,202503,3,57
8,202503,4,15
8,202503,5,90
8,202504,1,32
8,202504,2,43
8,202504,3,61
8,202504,4,17
8,202504,5,84
8,202505,1,26
8,202505,2,50
8,202505,3,62
8,202505,4,13
8,202505,5,74
8,202506,1,23
8,202506,2,47
8,202506,3,66
8,202506,4,14
8,202506,5,85
8,202507,1,27
8,202507,2,46
8,202507,3,65
8,202507,4,14
8,202507,5,87
8,202508,1,23
8,202508,2,41
8,202508,3,56
8,202508,4,13
8,202508,5,83
8,202509,1,32
8,202509,2,51
8,202509,3,68
8,202509,4,16
8,202509,5,92
8,202510,1,29
8,202510,2,53
8,202510,3,70
8,202510,4,16
8,202510,5,102
8,202511,1,25
8,202511,2,46
8,202511,3,59
8,202511,4,16
8,202511,5,80
8,202512,1,25
8,202512,2,39
8,202512,3,57
8,202512,4,13
8,202512,5,87
8,202601,1,23
8,202601,2,46
8,202601,3,56
8,202601,4,15
8,202601,5,87
8,202602,1,26
8,202602,2,40
8,202602,3,51
8,202602,4,13
8,202602,5,91
8,202603,1,31
8,202603,2,48
8,202603,3,73
8,202603,4,16
8,202603,5,85
8,202604,1,28
8,202604,2,53
8,202604,3,72
8,202604,4,16
8,202604,5,110
8,202605,1,30
8,202605,2,50
8,202605,3,60
8,202605,4,15
8,202605,5,81
8,202606,1,27
8,202606,2,46
8,202606,3,67
8,202606,4,15
8,202606,5,77
