SiteKey,YearMonthKey,ShiftKey,WorkerClassKey,HoursWorked
1,202508,2,1,16646
1,202508,2,2,8162
1,202508,3,1,10369
1,202508,3,2,4616
1,202509,1,1,33246
1,202509,1,2,15239
1,202509,2,1,19217
1,202509,2,2,8782
1,202509,3,1,10488
1,202509,3,2,5140
1,202510,1,1,31487
1,202510,1,2,16533
1,202510,2,1,20153
1,202510,2,2,9433
1,202510,3,1,11299
1,202510,3,2,5155
1,202511,1,1,32765
1,202511,1,2,15541
1,202511,2,1,17184
1,202511,2,2,8495
1,202511,3,1,10289
1,202511,3,2,5266
1,202512,1,1,30512
1,202512,1,2,13295
1,202512,2,1,17008
1,202512,2,2,8076
1,202512,3,1,9947
1,202512,3,2,5032
1,202601,1,1,29296
1,202601,1,2,13434
1,202601,2,1,17140
1,202601,2,2,8249
1,202601,3,1,9869
1,202601,3,2,4708
1,202602,1,1,31326
1,202602,1,2,14166
1,202602,2,1,16933
1,202602,2,2,8045
1,202602,3,1,9770
1,202602,3,2,4657
1,202603,1,1,31894
1,202603,1,2,15468
1,202603,2,1,18157
1,202603,2,2,8534
1,202603,3,1,10680
1,202603,3,2,5381
1,202604,1,1,32612
1,202604,1,2,16635
1,202604,2,1,20287
1,202604,2,2,8681
1,202604,3,1,11301
1,202604,3,2,5603
1,202605,1,1,30840
1,202605,1,2,14365
1,202605,2,1,19386
1,202605,2,2,8744
1,202605,3,1,11019
1,202605,3,2,5380
1,202606,1,1,30661
1,202606,1,2,13398
1,202606,2,1,16234
1,202606,2,2,7961
1,202606,3,1,10141
1,202606,3,2,4798
2,202401,1,1,39062
2,202401,1,2,18263
2,202401,2,1,23207
2,202401,2,2,9824
2,202401,3,1,13006
2,202401,3,2,6074
2,202402,1,1,39668
2,202402,1,2,17351
2,202402,2,1,21118
2,202402,2,2,10258
2,202402,3,1,13036
2,202402,3,2,6028
2,202403,1,1,40564
2,202403,1,2,20679
2,202403,2,1,23961
2,202403,2,2,11846
2,202403,3,1,14563
2,202403,3,2,6444
2,202404,1,1,45937
2,202404,1,2,21218
2,202404,2,1,26411
2,202404,2,2,12369
2,202404,3,1,15630
2,202404,3,2,6778
2,202405,1,1,40989
2,202405,1,2,18658
2,202405,2,1,23406
2,202405,2,2,10557
2,202405,3,1,14006
2,202405,3,2,7078
2,202406,1,1,36946
2,202406,1,2,18501
2,202406,2,1,21815
2,202406,2,2,10226
2,202406,3,1,13882
2,202406,3,2,6561
2,202407,1,1,38272
2,202407,1,2,18360
2,202407,2,1,21024
2,202407,2,2,10069
2,202407,3,1,13901
2,202407,3,2,6252
2,202408,1,1,38210
2,202408,1,2,18423
2,202408,2,1,20768
2,202408,2,2,10426
2,202408,3,1,13164
2,202408,3,2,6455
2,202409,1,1,39736
2,202409,1,2,20579
2,202409,2,1,22702
2,202409,2,2,10826
2,202409,3,1,14508
2,202409,3,2,6892
2,202410,1,1,41595
2,202410,1,2,19294
2,202410,2,1,25946
2,202410,2,2,11308
2,202410,3,1,15039
2,202410,3,2,7099
2,202411,1,1,39908
2,202411,1,2,19154
2,202411,2,1,23313
2,202411,2,2,11511
2,202411,3,1,13454
2,202411,3,2,6735
2,202412,1,1,36825
2,202412,1,2,17667
2,202412,2,1,22385
2,202412,2,2,10074
2,202412,3,1,12869
2,202412,3,2,6380
2,202501,1,1,36067
2,202501,1,2,17801
2,202501,2,1,23245
2,202501,2,2,10936
2,202501,3,1,12486
2,202501,3,2,5980
2,202502,1,1,36946
2,202502,1,2,18821
2,202502,2,1,22936
2,202502,2,2,10792
2,202502,3,1,12954
2,202502,3,2,5939
2,202503,1,1,43494
2,202503,1,2,20160
2,202503,2,1,24450
2,202503,2,2,12017
2,202503,3,1,14743
2,202503,3,2,6410
2,202504,1,1,44990
2,202504,1,2,19904
2,202504,2,1,25494
2,202504,2,2,12387
2,202504,3,1,14344
2,202504,3,2,6734
2,202505,1,1,39123
2,202505,1,2,19445
2,202505,2,1,23041
2,202505,2,2,11287
2,202505,3,1,14584
2,202505,3,2,6450
2,202506,1,1,38630
2,202506,1,2,17384
2,202506,2,1,21903
2,202506,2,2,10823
2,202506,3,1,13706
2,202506,3,2,5890
2,202507,1,1,37669
2,202507,1,2,17412
2,202507,2,1,20627
2,202507,2,2,10657
2,202507,3,1,13376
2,202507,3,2,6016
2,202508,1,1,39118
2,202508,1,2,18001
2,202508,2,1,21743
2,202508,2,2,9714
2,202508,3,1,12489
2,202508,3,2,6478
2,202509,1,1,43448
2,202509,1,2,19608
2,202509,2,1,24867
2,202509,2,2,11362
2,202509,3,1,13738
2,202509,3,2,6448
2,202510,1,1,41971
2,202510,1,2,21184
2,202510,2,1,25666
2,202510,2,2,12168
2,202510,3,1,15582
2,202510,3,2,6754
2,202511,1,1,39087
2,202511,1,2,18060
2,202511,2,1,24031
2,202511,2,2,11445
2,202511,3,1,13793
2,202511,3,2,6659
2,202512,1,1,36442
2,202512,1,2,18813
2,202512,2,1,22893
2,202512,2,2,10911
2,202512,3,1,13650
2,202512,3,2,6476
2,202601,1,1,35850
2,202601,1,2,18398
2,202601,2,1,21492
2,202601,2,2,10855
2,202601,3,1,13637
2,202601,3,2,6463
2,202602,1,1,39436
2,202602,1,2,17390
2,202602,2,1,22689
2,202602,2,2,9836
2,202602,3,1,13747
2,202602,3,2,6459
2,202603,1,1,40427
2,202603,1,2,20427
2,202603,2,1,24012
2,202603,2,2,11089
2,202603,3,1,14989
2,202603,3,2,6589
2,202604,1,1,40863
2,202604,1,2,19644
2,202604,2,1,24489
2,202604,2,2,12281
2,202604,3,1,15843
2,202604,3,2,6873
2,202605,1,1,41756
2,202605,1,2,19090
2,202605,2,1,25055
2,202605,2,2,11196
2,202605,3,1,14962
2,202605,3,2,6380
2,202606,1,1,40164
2,202606,1,2,17201
2,202606,2,1,23150
2,202606,2,2,10031
2,202606,3,1,12542
2,202606,3,2,6144
3,202401,1,1,26040
3,202401,1,2,11661
3,202401,2,1,14809
3,202401,2,2,6891
3,202401,3,1,8653
3,202401,3,2,4166
3,202402,1,1,24599
3,202402,1,2,12226
3,202402,2,1,13747
3,202402,2,2,7232
3,202402,3,1,8814
3,202402,3,2,4237
3,202403,1,1,28689
3,202403,1,2,13388
3,202403,2,1,15822
3,202403,2,2,7179
3,202403,3,1,9841
3,202403,3,2,4449
3,202404,1,1,28248
3,202404,1,2,14165
3,202404,2,1,17109
3,202404,2,2,7657
3,202404,3,1,9773
3,202404,3,2,4655
3,202405,1,1,27052
3,202405,1,2,12565
3,202405,2,1,15086
3,202405,2,2,7361
3,202405,3,1,9976
3,202405,3,2,4554
3,202406,1,1,26570
3,202406,1,2,12093
3,202406,2,1,14273
3,202406,2,2,6920
3,202406,3,1,8248
3,202406,3,2,4023
3,202407,1,1,25132
3,202407,1,2,12041
3,202407,2,1,14894
3,202407,2,2,6852
3,202407,3,1,8712
3,202407,3,2,3987
3,202408,1,1,25263
3,202408,1,2,12502
3,202408,2,1,15142
3,202408,2,2,6609
3,202408,3,1,8336
3,202408,3,2,4136
3,202409,1,1,28067
3,202409,1,2,12743
3,202409,2,1,16547
3,202409,2,2,7727
3,202409,3,1,9761
3,202409,3,2,4351
3,202410,1,1,27606
3,202410,1,2,12709
3,202410,2,1,16017
3,202410,2,2,7752
3,202410,3,1,10330
3,202410,3,2,4427
3,202411,1,1,26590
3,202411,1,2,12839
3,202411,2,1,14931
3,202411,2,2,7465
3,202411,3,1,9294
3,202411,3,2,4242
3,202412,1,1,25820
3,202412,1,2,11219
3,202412,2,1,15062
3,202412,2,2,7104
3,202412,3,1,8360
3,202412,3,2,4092
3,202501,1,1,24359
3,202501,1,2,12583
3,202501,2,1,14654
3,202501,2,2,6510
3,202501,3,1,8509
3,202501,3,2,4302
3,202502,1,1,25213
3,202502,1,2,12359
3,202502,2,1,14916
3,202502,2,2,7283
3,202502,3,1,8874
3,202502,3,2,4352
3,202503,1,1,29189
3,202503,1,2,13298
3,202503,2,1,16507
3,202503,2,2,7574
3,202503,3,1,10034
3,202503,3,2,4568
3,202504,1,1,30271
3,202504,1,2,13995
3,202504,2,1,16618
3,202504,2,2,7618
3,202504,3,1,9698
3,202504,3,2,4784
3,202505,1,1,28246
3,202505,1,2,12914
3,202505,2,1,16032
3,202505,2,2,7230
3,202505,3,1,8995
3,202505,3,2,4344
3,202506,1,1,24651
3,202506,1,2,11669
3,202506,2,1,14693
3,202506,2,2,6583
3,202506,3,1,8490
3,202506,3,2,4225
3,202507,1,1,25973
3,202507,1,2,11303
3,202507,2,1,14460
3,202507,2,2,6916
3,202507,3,1,8684
3,202507,3,2,3983
3,202508,1,1,25102
3,202508,1,2,12506
3,202508,2,1,14769
3,202508,2,2,7043
3,202508,3,1,9149
3,202508,3,2,4261
3,202509,1,1,27230
3,202509,1,2,12230
3,202509,2,1,15654
3,202509,2,2,7729
3,202509,3,1,9969
3,202509,3,2,4745
3,202510,1,1,28362
3,202510,1,2,13878
3,202510,2,1,16615
3,202510,2,2,7871
3,202510,3,1,9581
3,202510,3,2,4508
3,202511,1,1,26659
3,202511,1,2,11928
3,202511,2,1,15195
3,202511,2,2,7451
3,202511,3,1,9193
3,202511,3,2,4201
3,202512,1,1,25246
3,202512,1,2,11394
3,202512,2,1,14837
3,202512,2,2,6490
3,202512,3,1,8662
3,202512,3,2,4161
3,202601,1,1,23906
3,202601,1,2,12131
3,202601,2,1,13983
3,202601,2,2,6849
3,202601,3,1,8300
3,202601,3,2,4069
3,202602,1,1,24468
3,202602,1,2,11679
3,202602,2,1,15080
3,202602,2,2,6781
3,202602,3,1,9039
3,202602,3,2,4293
3,202603,1,1,27051
3,202603,1,2,12461
3,202603,2,1,15157
3,202603,2,2,7605
3,202603,3,1,10230
3,202603,3,2,4459
3,202604,1,1,29414
3,202604,1,2,14055
3,202604,2,1,16973
3,202604,2,2,8083
3,202604,3,1,10542
3,202604,3,2,4537
3,202605,1,1,25797
3,202605,1,2,12344
3,202605,2,1,15084
3,202605,2,2,7583
3,202605,3,1,9548
3,202605,3,2,4308
3,202606,1,1,25951
3,202606,1,2,12309
3,202606,2,1,14040
3,202606,2,2,6970
3,202606,3,1,9034
3,202606,3,2,3938
4,202401,1,1,35088
4,202401,1,2,16790
4,202401,2,1,18579
4,202401,2,2,8653
4,202401,3,1,11434
4,202401,3,2,5622
4,202402,1,1,35651
4,202402,1,2,15706
4,202402,2,1,20000
4,202402,2,2,8708
4,202402,3,1,11965
4,202402,3,2,5589
4,202403,1,1,35397
4,202403,1,2,18065
4,202403,2,1,22347
4,202403,2,2,10214
4,202403,3,1,12282
4,202403,3,2,6407
4,202404,1,1,39831
4,202404,1,2,17797
4,202404,2,1,22034
4,202404,2,2,10297
4,202404,3,1,13345
4,202404,3,2,6156
4,202405,1,1,38028
4,202405,1,2,17839
4,202405,2,1,20059
4,202405,2,2,10457
4,202405,3,1,12839
4,202405,3,2,6179
4,202406,1,1,34634
4,202406,1,2,15779
4,202406,2,1,20043
4,202406,2,2,9687
4,202406,3,1,11375
4,202406,3,2,5708
4,202407,1,1,33949
4,202407,1,2,15872
4,202407,2,1,19345
4,202407,2,2,9429
4,202407,3,1,11372
4,202407,3,2,5737
4,202408,1,1,35135
4,202408,1,2,15114
4,202408,2,1,20389
4,202408,2,2,8892
4,202408,3,1,11648
4,202408,3,2,5577
4,202409,1,1,36300
4,202409,1,2,16353
4,202409,2,1,22146
4,202409,2,2,9619
4,202409,3,1,12310
4,202409,3,2,6215
4,202410,1,1,37455
4,202410,1,2,18790
4,202410,2,1,22562
4,202410,2,2,10089
4,202410,3,1,12442
4,202410,3,2,6555
4,202411,1,1,34040
4,202411,1,2,17302
4,202411,2,1,20638
4,202411,2,2,10026
4,202411,3,1,12684
4,202411,3,2,5938
4,202412,1,1,33756
4,202412,1,2,16461
4,202412,2,1,18544
4,202412,2,2,8868
4,202412,3,1,11967
4,202412,3,2,5377
4,202501,1,1,34124
4,202501,1,2,15852
4,202501,2,1,19568
4,202501,2,2,9093
4,202501,3,1,12043
4,202501,3,2,5393
4,202502,1,1,34616
4,202502,1,2,15466
4,202502,2,1,18914
4,202502,2,2,8757
4,202502,3,1,11266
4,202502,3,2,5254
4,202503,1,1,37333
4,202503,1,2,18043
4,202503,2,1,20635
4,202503,2,2,9748
4,202503,3,1,12843
4,202503,3,2,6219
4,202504,1,1,40728
4,202504,1,2,18182
4,202504,2,1,21647
4,202504,2,2,9957
4,202504,3,1,12846
4,202504,3,2,6070
4,202505,1,1,35093
4,202505,1,2,16174
4,202505,2,1,21142
4,202505,2,2,9640
4,202505,3,1,13353
4,202505,3,2,5983
4,202506,1,1,34594
4,202506,1,2,15189
4,202506,2,1,20358
4,202506,2,2,9165
4,202506,3,1,12221
4,202506,3,2,5554
4,202507,1,1,33670
4,202507,1,2,15790
4,202507,2,1,18757
4,202507,2,2,8681
4,202507,3,1,12317
4,202507,3,2,5490
4,202508,1,1,35099
4,202508,1,2,15713
4,202508,2,1,18500
4,202508,2,2,9317
4,202508,3,1,11071
4,202508,3,2,5273
4,202509,1,1,37113
4,202509,1,2,16926
4,202509,2,1,22510
4,202509,2,2,9543
4,202509,3,1,13155
4,202509,3,2,6077
4,202510,1,1,39519
4,202510,1,2,17379
4,202510,2,1,22090
4,202510,2,2,10305
4,202510,3,1,13128
4,202510,3,2,6489
4,202511,1,1,37927
4,202511,1,2,16463
4,202511,2,1,20967
4,202511,2,2,9853
4,202511,3,1,12757
4,202511,3,2,6149
4,202512,1,1,32608
4,202512,1,2,15351
4,202512,2,1,19872
4,202512,2,2,8797
4,202512,3,1,11240
4,202512,3,2,5224
4,202601,1,1,31777
4,202601,1,2,15808
4,202601,2,1,19716
4,202601,2,2,8945
4,202601,3,1,11321
4,202601,3,2,5642
4,202602,1,1,34617
4,202602,1,2,15815
4,202602,2,1,19934
4,202602,2,2,9641
4,202602,3,1,12102
4,202602,3,2,5588
4,202603,1,1,53049
4,202603,1,2,25765
4,202603,2,1,29754
4,202603,2,2,14205
4,202603,3,1,18334
4,202603,3,2,8892
4,202604,1,1,56048
4,202604,1,2,24075
4,202604,2,1,29868
4,202604,2,2,14305
4,202604,3,1,19227
4,202604,3,2,8859
4,202605,1,1,49800
4,202605,1,2,22961
4,202605,2,1,30145
4,202605,2,2,14205
4,202605,3,1,18627
4,202605,3,2,8324
4,202606,1,1,47275
4,202606,1,2,21143
4,202606,2,1,25788
4,202606,2,2,12740
4,202606,3,1,16028
4,202606,3,2,7476
5,202401,1,1,21592
5,202401,1,2,11277
5,202401,2,1,13627
5,202401,2,2,6219
5,202401,3,1,8285
5,202401,3,2,3920
5,202402,1,1,23175
5,202402,1,2,10389
5,202402,2,1,12376
5,202402,2,2,6354
5,202402,3,1,7831
5,202402,3,2,3766
5,202403,1,1,26223
5,202403,1,2,11304
5,202403,2,1,14557
5,202403,2,2,6891
5,202403,3,1,8637
5,202403,3,2,3869
5,202404,1,1,25412
5,202404,1,2,11937
5,202404,2,1,15238
5,202404,2,2,7329
5,202404,3,1,8777
5,202404,3,2,4315
5,202405,1,1,23898
5,202405,1,2,12156
5,202405,2,1,14679
5,202405,2,2,6697
5,202405,3,1,8443
5,202405,3,2,3906
5,202406,1,1,22224
5,202406,1,2,11287
5,202406,2,1,12949
5,202406,2,2,6175
5,202406,3,1,8319
5,202406,3,2,3769
5,202407,1,1,22821
5,202407,1,2,10573
5,202407,2,1,12608
5,202407,2,2,6062
5,202407,3,1,8101
5,202407,3,2,3755
5,202408,1,1,23414
5,202408,1,2,10305
5,202408,2,1,13176
5,202408,2,2,6481
5,202408,3,1,7801
5,202408,3,2,3786
5,202409,1,1,23625
5,202409,1,2,12307
5,202409,2,1,14464
5,202409,2,2,6509
5,202409,3,1,8216
5,202409,3,2,4056
5,202410,1,1,25818
5,202410,1,2,11484
5,202410,2,1,15677
5,202410,2,2,7311
5,202410,3,1,8840
5,202410,3,2,3987
5,202411,1,1,25026
5,202411,1,2,11324
5,202411,2,1,14246
5,202411,2,2,6541
5,202411,3,1,8105
5,202411,3,2,4078
5,202412,1,1,24014
5,202412,1,2,10356
5,202412,2,1,13180
5,202412,2,2,6079
5,202412,3,1,8257
5,202412,3,2,3702
5,202501,1,1,23738
5,202501,1,2,11151
5,202501,2,1,12747
5,202501,2,2,6379
5,202501,3,1,7779
5,202501,3,2,3891
5,202502,1,1,22726
5,202502,1,2,11096
5,202502,2,1,12757
5,202502,2,2,6015
5,202502,3,1,7941
5,202502,3,2,3920
5,202503,1,1,24944
5,202503,1,2,11257
5,202503,2,1,14475
5,202503,2,2,6654
5,202503,3,1,8699
5,202503,3,2,4090
5,202504,1,1,25745
5,202504,1,2,11920
5,202504,2,1,14375
5,202504,2,2,7194
5,202504,3,1,9037
5,202504,3,2,4081
5,202505,1,1,25332
5,202505,1,2,10907
5,202505,2,1,14562
5,202505,2,2,6821
5,202505,3,1,8806
5,202505,3,2,3939
5,202506,1,1,23151
5,202506,1,2,11096
5,202506,2,1,13855
5,202506,2,2,6161
5,202506,3,1,7423
5,202506,3,2,3700
5,202507,1,1,22951
5,202507,1,2,11158
5,202507,2,1,13687
5,202507,2,2,6120
5,202507,3,1,7884
5,202507,3,2,3679
5,202508,1,1,23311
5,202508,1,2,10570
5,202508,2,1,13342
5,202508,2,2,5909
5,202508,3,1,7830
5,202508,3,2,3907
5,202509,1,1,24269
5,202509,1,2,11915
5,202509,2,1,14534
5,202509,2,2,7003
5,202509,3,1,8929
5,202509,3,2,4205
5,202510,1,1,25287
5,202510,1,2,11808
5,202510,2,1,15190
5,202510,2,2,7183
5,202510,3,1,9278
5,202510,3,2,3947
5,202511,1,1,22821
5,202511,1,2,11504
5,202511,2,1,14586
5,202511,2,2,6924
5,202511,3,1,8578
5,202511,3,2,3889
5,202512,1,1,21610
5,202512,1,2,10856
5,202512,2,1,13685
5,202512,2,2,6122
5,202512,3,1,8042
5,202512,3,2,3878
5,202601,1,1,21468
5,202601,1,2,11064
5,202601,2,1,12774
5,202601,2,2,6072
5,202601,3,1,7525
5,202601,3,2,3713
5,202602,1,1,22884
5,202602,1,2,11060
5,202602,2,1,12580
5,202602,2,2,5853
5,202602,3,1,8209
5,202602,3,2,3752
5,202603,1,1,24199
5,202603,1,2,12335
5,202603,2,1,13792
5,202603,2,2,6749
5,202603,3,1,8390
5,202603,3,2,3949
5,202604,1,1,24360
5,202604,1,2,12626
5,202604,2,1,15651
5,202604,2,2,7177
5,202604,3,1,8592
5,202604,3,2,4187
5,202605,1,1,24067
5,202605,1,2,11661
5,202605,2,1,14383
5,202605,2,2,6597
5,202605,3,1,8234
5,202605,3,2,4160
5,202606,1,1,21886
5,202606,1,2,10537
5,202606,2,1,13073
5,202606,2,2,5970
5,202606,3,1,7927
5,202606,3,2,3731
6,202401,1,1,38587
6,202401,1,2,16724
6,202401,2,1,22225
6,202401,2,2,10080
6,202401,3,1,12270
6,202401,3,2,5982
6,202402,1,1,37246
6,202402,1,2,17649
6,202402,2,1,19882
6,202402,2,2,10018
6,202402,3,1,12607
6,202402,3,2,6222
6,202403,1,1,39048
6,202403,1,2,19536
6,202403,2,1,23418
6,202403,2,2,10688
6,202403,3,1,14100
6,202403,3,2,6623
6,202404,1,1,42420
6,202404,1,2,20064
6,202404,2,1,24420
6,202404,2,2,11734
6,202404,3,1,14599
6,202404,3,2,7093
6,202405,1,1,40039
6,202405,1,2,18092
6,202405,2,1,22540
6,202405,2,2,10785
6,202405,3,1,14000
6,202405,3,2,6094
6,202406,1,1,35538
6,202406,1,2,17654
6,202406,2,1,20201
6,202406,2,2,9455
6,202406,3,1,12671
6,202406,3,2,6271
6,202407,1,1,36568
6,202407,1,2,17996
6,202407,2,1,21853
6,202407,2,2,9603
6,202407,3,1,13103
6,202407,3,2,5922
6,202408,1,1,37773
6,202408,1,2,17652
6,202408,2,1,20613
6,202408,2,2,9435
6,202408,3,1,13313
6,202408,3,2,5679
6,202409,1,1,41936
6,202409,1,2,19496
6,202409,2,1,23527
6,202409,2,2,11403
6,202409,3,1,14517
6,202409,3,2,6706
6,202410,1,1,40507
6,202410,1,2,20050
6,202410,2,1,22366
6,202410,2,2,11227
6,202410,3,1,14174
6,202410,3,2,6846
6,202411,1,1,39418
6,202411,1,2,18358
6,202411,2,1,23143
6,202411,2,2,11039
6,202411,3,1,12740
6,202411,3,2,6090
6,202412,1,1,34357
6,202412,1,2,17936
6,202412,2,1,21175
6,202412,2,2,10385
6,202412,3,1,12190
6,202412,3,2,5624
6,202501,1,1,37850
6,202501,1,2,17987
6,202501,2,1,20520
6,202501,2,2,9783
6,202501,3,1,12067
6,202501,3,2,6253
6,202502,1,1,35578
6,202502,1,2,17130
6,202502,2,1,20003
6,202502,2,2,10351
6,202502,3,1,12060
6,202502,3,2,5902
6,202503,1,1,40897
6,202503,1,2,19410
6,202503,2,1,24359
6,202503,2,2,10775
6,202503,3,1,14276
6,202503,3,2,6258
6,202504,1,1,41110
6,202504,1,2,18605
6,202504,2,1,23932
6,202504,2,2,11152
6,202504,3,1,15156
6,202504,3,2,6387
6,202505,1,1,38736
6,202505,1,2,18391
6,202505,2,1,23928
6,202505,2,2,11139
6,202505,3,1,12965
6,202505,3,2,6553
6,202506,1,1,36628
6,202506,1,2,18128
6,202506,2,1,20663
6,202506,2,2,9771
6,202506,3,1,12142
6,202506,3,2,5666
6,202507,1,1,37955
6,202507,1,2,17052
6,202507,2,1,21429
6,202507,2,2,10060
6,202507,3,1,12758
6,202507,3,2,5594
6,202508,1,1,37687
6,202508,1,2,16617
6,202508,2,1,20076
6,202508,2,2,9969
6,202508,3,1,11958
6,202508,3,2,6123
6,202509,1,1,38317
6,202509,1,2,18051
6,202509,2,1,23928
6,202509,2,2,10560
6,202509,3,1,13165
6,202509,3,2,6780
6,202510,1,1,38714
6,202510,1,2,20208
6,202510,2,1,22739
6,202510,2,2,10681
6,202510,3,1,13825
6,202510,3,2,6444
6,202511,1,1,39366
6,202511,1,2,17140
6,202511,2,1,20983
6,202511,2,2,10850
6,202511,3,1,12948
6,202511,3,2,6158
6,202512,1,1,35009
6,202512,1,2,16224
6,202512,2,1,21629
6,202512,2,2,9923
6,202512,3,1,12983
6,202512,3,2,5918
6,202601,1,1,37649
6,202601,1,2,17173
6,202601,2,1,20033
6,202601,2,2,9896
6,202601,3,1,13285
6,202601,3,2,5610
6,202602,1,1,37672
6,202602,1,2,17901
6,202602,2,1,21074
6,202602,2,2,9842
6,202602,3,1,13313
6,202602,3,2,5622
6,202603,1,1,39976
6,202603,1,2,18637
6,202603,2,1,23638
6,202603,2,2,10868
6,202603,3,1,14555
6,202603,3,2,6194
6,202604,1,1,39445
6,202604,1,2,19800
6,202604,2,1,22714
6,202604,2,2,10972
6,202604,3,1,14607
6,202604,3,2,6805
6,202605,1,1,38523
6,202605,1,2,19616
6,202605,2,1,22785
6,202605,2,2,10624
6,202605,3,1,13793
6,202605,3,2,6101
6,202606,1,1,37316
6,202606,1,2,17871
6,202606,2,1,21400
6,202606,2,2,10210
6,202606,3,1,12946
6,202606,3,2,5732
7,202401,1,1,27297
7,202401,1,2,12500
7,202401,2,1,15535
7,202401,2,2,7413
7,202401,3,1,9409
7,202401,3,2,4255
7,202402,1,1,27216
7,202402,1,2,13177
7,202402,2,1,15602
7,202402,2,2,7143
7,202402,3,1,9987
7,202402,3,2,4240
7,202403,1,1,31405
7,202403,1,2,13520
7,202403,2,1,16581
7,202403,2,2,8435
7,202403,3,1,10846
7,202403,3,2,4953
7,202404,1,1,31626
7,202404,1,2,14838
7,202404,2,1,17689
7,202404,2,2,8113
7,202404,3,1,10644
7,202404,3,2,5200
7,202405,1,1,30544
7,202405,1,2,14571
7,202405,2,1,17562
7,202405,2,2,8503
7,202405,3,1,10389
7,202405,3,2,4745
7,202406,1,1,27714
7,202406,1,2,12475
7,202406,2,1,16139
7,202406,2,2,7208
7,202406,3,1,9058
7,202406,3,2,4658
7,202407,1,1,27021
7,202407,1,2,13328
7,202407,2,1,15982
7,202407,2,2,7730
7,202407,3,1,9898
7,202407,3,2,4727
7,202408,1,1,28507
7,202408,1,2,13097
7,202408,2,1,16112
7,202408,2,2,7031
7,202408,3,1,9994
7,202408,3,2,4650
7,202409,1,1,29093
7,202409,1,2,13544
7,202409,2,1,17686
7,202409,2,2,7939
7,202409,3,1,10161
7,202409,3,2,4586
7,202410,1,1,32404
7,202410,1,2,14717
7,202410,2,1,17687
7,202410,2,2,8062
7,202410,3,1,10911
7,202410,3,2,4769
7,202411,1,1,29964
7,202411,1,2,13228
7,202411,2,1,16629
7,202411,2,2,7751
7,202411,3,1,9917
7,202411,3,2,4867
7,202412,1,1,28369
7,202412,1,2,13026
7,202412,2,1,15051
7,202412,2,2,7054
7,202412,3,1,9114
7,202412,3,2,4536
7,202501,1,1,28031
7,202501,1,2,12568
7,202501,2,1,16149
7,202501,2,2,7441
7,202501,3,1,9438
7,202501,3,2,4351
7,202502,1,1,28298
7,202502,1,2,12322
